events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate,hit
field_out,hit_into_play,571745,R,4.0,43.2,138.24,174.76,657228.0,R,SL,84.8,2321.0,False
field_out,hit_into_play,572863,R,69.0,80.0,96.08,166.9,592712.0,R,FF,95.4,2114.0,False
single,hit_into_play_score,594777,L,13.0,99.6,110.85,94.34,592712.0,R,SL,90.4,2271.0,True
single,hit_into_play_no_out,527049,R,-50.0,59.9,105.71,175.01,592712.0,R,SL,89.5,2134.0,True
field_out,hit_into_play,518960,R,23.0,90.6,153.02,60.91,592712.0,R,SL,90.3,2183.0,False
single,hit_into_play_no_out,600303,L,-40.0,83.8,104.19,166.39,592712.0,R,FT,92.9,1910.0,True
field_out,hit_into_play,596129,L,1.0,104.8,145.76,150.17,657228.0,R,FF,94.3,2234.0,False
grounded_into_double_play,hit_into_play,405395,R,-8.0,106.3,109.26,154.73,606273.0,L,FT,94.9,2505.0,False
field_out,hit_into_play,664058,R,34.0,85.9,140.25,70.29,606273.0,L,FT,93.5,2497.0,False
field_out,hit_into_play_score,542921,R,1.0,69.7,108.76,161.83,657228.0,R,SL,83.2,2363.0,False
double,hit_into_play_no_out,457803,L,15.0,100.7,222.32,101.0,570240.0,R,SL,82.8,2394.0,True
field_out,hit_into_play,553882,L,52.0,86.2,84.75,102.84,570240.0,R,FT,91.4,2100.0,False
field_out,hit_into_play,527049,R,-21.0,95.7,107.24,159.3,518715.0,R,SL,85.4,2816.0,False
grounded_into_double_play,hit_into_play,596129,L,-4.0,110.6,144.75,154.23,570240.0,R,FT,90.5,1884.0,False
field_error,hit_into_play_no_out,572122,L,-5.0,97.8,159.45,169.44,570240.0,R,FT,91.6,2212.0,False
field_out,hit_into_play,518960,R,-16.0,60.2,124.98,147.64,592165.0,R,CH,85.6,1814.0,False
field_out,hit_into_play,405395,R,-18.0,91.9,107.99,156.05,592165.0,R,SI,95.3,2361.0,False
field_out,hit_into_play,605480,L,21.0,95.8,91.92,55.5,570240.0,R,SL,84.4,2475.0,False
field_out,hit_into_play,643418,L,-33.0,71.9,163.51,168.42,570240.0,R,SL,83.7,2486.0,False
home_run,hit_into_play_score,542921,R,22.0,104.7,70.8,43.07,570240.0,R,FT,91.9,1993.0,True
field_out,hit_into_play,553882,L,-10.0,50.8,117.8,165.71,570240.0,R,CH,84.5,1622.0,False
fielders_choice_out,hit_into_play,664058,R,-25.0,89.8,108.76,158.79,592165.0,R,SI,95.0,2244.0,False
double,hit_into_play_score,650859,L,22.0,102.6,162.92,40.22,641853.0,R,SI,91.3,2292.0,True
fielders_choice,hit_into_play_no_out,572863,R,3.0,98.8,107.74,158.28,641853.0,R,SI,91.9,2159.0,False
single,hit_into_play_no_out,527049,R,14.0,89.4,93.59,88.73,641853.0,R,CU,75.9,2957.0,True
field_out,hit_into_play,571745,R,-13.0,92.0,108.25,162.85,570240.0,R,SL,84.8,2606.0,False
grounded_into_double_play,hit_into_play,600303,L,1.0,88.9,119.91,150.17,641853.0,R,SI,92.1,2413.0,False
double,hit_into_play_score,545361,R,5.0,106.7,32.71,107.59,579328.0,L,SL,81.9,2314.0,True
field_out,hit_into_play,664058,R,88.0,68.7,146.27,217.6,579328.0,L,FF,92.2,2255.0,False
single,hit_into_play_no_out,572863,R,3.0,79.0,176.18,120.26,579328.0,L,SL,81.2,2377.0,True
field_out,hit_into_play,605480,L,19.0,92.3,161.32,72.99,570240.0,R,CH,84.6,1706.0,False
field_out,hit_into_play,594777,L,20.0,103.1,134.0,46.03,579328.0,L,FF,91.0,2145.0,False
