events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,543829.0,L,50.0,74.8,55.63,140.19,518566.0,R,FF,92.3,2296.0
strikeout,swinging_strike,543829.0,L,,,,,592135.0,R,FF,93.0,2394.0
single,hit_into_play_score,543829.0,L,0.0,87.4,61.51,128.42,502239.0,R,KC,80.7,2908.0
force_out,hit_into_play,543829.0,L,1.0,73.2,140.85,145.98,502239.0,R,CH,83.7,1556.0
single,hit_into_play_no_out,543829.0,L,20.0,80.8,132.65,92.51,598287.0,R,CH,83.4,1766.0
field_out,hit_into_play,543829.0,L,37.0,95.3,110.34,58.78,596071.0,L,FF,91.5,2302.0
field_out,hit_into_play,543829.0,L,69.0,80.0,99.11,169.15,570240.0,R,SL,81.5,2367.0
field_out,hit_into_play,543829.0,L,-39.0,41.0,122.13,192.77,570240.0,R,SL,81.6,2498.0
force_out,hit_into_play,543829.0,L,-2.0,99.3,118.22,145.98,472610.0,R,FT,95.7,2097.0
walk,ball,543829.0,L,,,,,596071.0,L,FF,92.5,2350.0
single,hit_into_play_no_out,543829.0,L,-9.0,94.6,143.65,90.87,657228.0,R,FF,94.7,2136.0
field_out,hit_into_play,543829.0,L,7.0,91.3,151.53,151.43,608717.0,R,CU,75.4,2982.0
strikeout,swinging_strike_blocked,543829.0,L,,,,,608717.0,R,CU,77.3,3112.0
field_out,hit_into_play,543829.0,L,-9.0,84.2,150.83,158.79,621295.0,R,CH,86.1,1952.0
field_out,hit_into_play,543829.0,L,28.0,73.2,157.91,97.39,543272.0,L,SL,80.5,2447.0
field_out,hit_into_play,543829.0,L,69.0,80.0,110.28,154.23,424144.0,L,SI,91.1,2016.0
walk,ball,543829.0,L,,,,,669456.0,R,FF,92.2,2104.0
field_out,hit_into_play,543829.0,L,-4.0,65.2,146.78,151.69,669456.0,R,CH,88.4,1738.0
strikeout,called_strike,543829.0,L,,,,,543272.0,L,FF,91.9,2438.0
walk,ball,543829.0,L,,,,,545333.0,R,FT,94.3,2056.0
strikeout,called_strike,543829.0,L,,,,,545333.0,R,FT,94.6,2197.0
field_out,hit_into_play,543829.0,L,-1.0,92.7,157.93,156.26,545333.0,R,FF,93.7,2334.0
field_out,hit_into_play,543829.0,L,-21.0,82.9,150.33,173.49,519151.0,R,CU,82.2,3261.0
field_out,hit_into_play,543829.0,L,36.0,74.8,91.95,100.99,543037.0,R,SL,90.4,2436.0
field_out,hit_into_play,543829.0,L,58.0,89.9,122.5,113.48,543037.0,R,FF,95.0,2478.0
strikeout,swinging_strike,543829.0,L,,,,,519151.0,R,CU,82.8,3197.0
field_out,hit_into_play,543829.0,L,44.0,93.7,179.59,84.39,434378.0,R,FF,98.4,2529.0
field_out,hit_into_play,543829.0,L,33.0,88.2,162.62,69.13,434378.0,R,FF,95.6,2476.0
strikeout,swinging_strike,543829.0,L,,,,,606965.0,R,CH,83.4,1443.0
single,hit_into_play_no_out,543829.0,L,11.0,98.9,203.05,102.52,502748.0,R,FF,91.7,2187.0
strikeout,swinging_strike,543829.0,L,,,,,489119.0,L,FF,92.0,2270.0
field_out,hit_into_play,543829.0,L,18.0,95.8,116.98,75.51,489119.0,L,FC,86.4,2178.0
single,hit_into_play_no_out,543829.0,L,12.0,91.4,91.81,91.7,502202.0,R,FF,89.6,2281.0
triple,hit_into_play_score,543829.0,L,22.0,97.3,101.69,56.72,663992.0,L,FF,90.9,2248.0
home_run,hit_into_play_score,543829.0,L,32.0,94.0,233.53,89.48,605347.0,R,KC,81.5,2442.0
field_out,hit_into_play,543829.0,L,-7.0,82.8,114.9,155.27,605347.0,R,FT,92.9,1967.0
field_out,hit_into_play,543829.0,L,65.0,84.1,79.34,135.46,502202.0,R,SL,87.2,2322.0
field_out,hit_into_play,543829.0,L,19.0,81.4,89.79,93.36,453178.0,R,FF,93.0,2467.0
single,hit_into_play_no_out,543829.0,L,4.0,89.1,128.61,84.15,641571.0,R,FF,90.5,2081.0
field_out,hit_into_play,543829.0,L,-11.0,93.1,106.77,149.17,641571.0,R,FF,90.7,2073.0
strikeout,foul_tip,543829.0,L,,,,,518617.0,L,SI,95.0,2228.0
single,hit_into_play_no_out,543829.0,L,-36.0,40.0,119.98,190.83,642098.0,R,CU,76.5,2407.0
single,hit_into_play_score,543829.0,L,-2.0,90.8,187.03,104.47,596001.0,R,SI,90.2,2063.0
single,hit_into_play_no_out,543829.0,L,21.0,71.6,99.39,105.62,596001.0,R,FF,91.2,2198.0
field_out,hit_into_play,543829.0,L,-20.0,93.7,150.45,157.81,453178.0,R,FF,92.2,2427.0
single,hit_into_play_no_out,543829.0,L,7.0,81.0,124.55,88.22,605130.0,R,FF,92.3,2255.0
single,hit_into_play_score,543829.0,L,10.0,95.3,107.76,87.26,657612.0,L,SI,86.6,2110.0
sac_bunt,hit_into_play,543829.0,L,-39.0,41.0,126.07,195.91,456701.0,R,FT,92.6,1912.0
field_out,hit_into_play,543829.0,L,-2.0,98.1,147.41,172.03,456701.0,R,FF,93.5,2113.0
force_out,hit_into_play,543829.0,L,-15.0,72.1,141.11,155.48,605240.0,L,FC,90.2,2688.0
field_out,hit_into_play,543829.0,L,-21.0,82.9,154.43,166.98,621350.0,L,FF,91.9,2186.0
field_out,hit_into_play,543829.0,L,0.0,101.9,145.35,152.45,621114.0,R,FF,95.2,2091.0
single,hit_into_play_no_out,543829.0,L,2.0,100.0,151.41,101.57,467100.0,R,FT,92.6,2104.0
