events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,429665.0,R,13.0,78.4,91.78,154.22,642545.0,R,SL,83.1,2261.0
strikeout,swinging_strike,429665.0,R,,,,,642545.0,R,FF,91.7,2302.0
field_out,hit_into_play,429665.0,R,17.0,63.6,97.99,142.79,570663.0,R,SL,86.1,2418.0
field_out,hit_into_play,429665.0,R,46.0,105.8,39.7,100.56,518566.0,R,FF,93.4,2368.0
field_out,hit_into_play,429665.0,R,-5.0,85.8,102.7,163.55,572703.0,R,SL,85.0,2449.0
home_run,hit_into_play_score,429665.0,R,26.0,109.6,32.7,40.05,502239.0,R,SI,90.5,2167.0
field_out,hit_into_play,429665.0,R,-44.0,79.2,104.51,164.76,502239.0,R,FC,84.8,2147.0
strikeout,swinging_strike,429665.0,R,,,,,502239.0,R,SI,90.7,2104.0
strikeout,foul_tip,429665.0,R,,,,,598287.0,R,SI,88.5,2173.0
field_out,hit_into_play,429665.0,R,20.0,89.6,194.25,98.67,570663.0,R,SL,89.2,2449.0
field_out,hit_into_play,429665.0,R,47.0,80.8,93.87,101.96,621142.0,R,SL,85.7,1993.0
field_out,hit_into_play,429665.0,R,-17.0,102.3,106.98,164.91,570240.0,R,FT,90.4,2200.0
field_out,hit_into_play,429665.0,R,5.0,99.5,108.32,139.27,570240.0,R,SL,85.5,2562.0
walk,ball,429665.0,R,,,,,592102.0,R,FF,92.1,2558.0
field_out,hit_into_play,429665.0,R,-19.0,71.6,118.22,145.38,472610.0,R,FF,97.8,2075.0
hit_by_pitch,hit_by_pitch,429665.0,R,,,,,657228.0,R,FT,93.6,2141.0
field_out,hit_into_play,429665.0,R,42.0,94.5,59.46,92.68,608717.0,R,FF,89.7,2403.0
field_out,hit_into_play,429665.0,R,32.0,77.0,165.84,91.38,608717.0,R,CU,75.8,3149.0
single,hit_into_play_no_out,429665.0,R,12.0,80.0,123.06,127.81,608717.0,R,SL,84.1,2709.0
strikeout,swinging_strike,429665.0,R,,,,,621295.0,R,FF,93.0,2189.0
single,hit_into_play_no_out,429665.0,R,5.0,105.7,100.65,87.31,471911.0,R,FF,93.6,2455.0
strikeout,swinging_strike_blocked,429665.0,R,,,,,471911.0,R,SL,86.4,2900.0
walk,ball,429665.0,R,,,,,471911.0,R,FF,93.7,2485.0
grounded_into_double_play,hit_into_play,429665.0,R,2.0,79.6,112.31,157.78,519166.0,R,FF,93.6,2298.0
field_out,hit_into_play,429665.0,R,17.0,105.9,58.68,83.78,669456.0,R,FF,92.2,2115.0
field_out,hit_into_play,429665.0,R,69.0,80.0,158.95,185.15,669456.0,R,SL,83.0,2406.0
