events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,429665,R,2.0,95.0,122.01,142.06,450203,R,FC,87.9,2599.0
field_out,hit_into_play,429665,R,45.0,90.3,201.11,103.38,630023,R,SI,98.0,2376.0
field_out,hit_into_play,429665,R,-10.0,99.7,96.1,162.38,450203,R,FT,94.7,1983.0
walk,blocked_ball,429665,R,,,,,630023,R,SL,89.9,2396.0
single,hit_into_play_no_out,429665,R,13.0,92.0,87.64,85.01,621056,R,SL,85.6,
field_out,hit_into_play,429665,R,85.0,71.1,150.96,200.99,656222,L,FF,87.7,1714.0
home_run,hit_into_play_score,429665,R,27.0,112.0,34.71,37.51,592773,R,FF,96.5,2440.0
home_run,hit_into_play_score,429665,R,29.0,105.6,30.83,55.6,552640,R,FF,95.2,2386.0
strikeout,swinging_strike,429665,R,,,,,650895,R,SL,88.6,2450.0
home_run,hit_into_play_score,429665,R,25.0,95.6,22.8,79.8,605483,L,FF,96.0,2310.0
field_out,hit_into_play,429665,R,55.0,95.1,83.4,102.95,605483,L,FF,94.6,2306.0
hit_by_pitch,hit_by_pitch,429665,R,13.0,49.6,,,543339,R,FF,96.5,2505.0
field_out,hit_into_play,429665,R,-35.0,80.1,117.94,160.35,641835,L,FT,95.5,2125.0
field_out,hit_into_play,429665,R,69.0,80.0,98.64,121.74,592468,R,FF,92.2,2247.0
force_out,hit_into_play,429665,R,-26.0,87.3,106.77,170.0,453385,L,FT,90.2,2037.0
field_out,hit_into_play,429665,R,-33.0,96.3,148.93,157.81,543208,R,SL,84.6,2230.0
double,hit_into_play_score,429665,R,17.0,110.2,66.23,44.92,592717,R,FT,93.2,2128.0
field_out,hit_into_play,429665,R,69.0,80.0,148.93,161.87,592717,R,FF,91.9,2080.0
single,hit_into_play_no_out,429665,R,12.0,103.3,46.94,84.99,592717,R,CU,79.3,2963.0
field_out,hit_into_play,429665,R,47.0,88.3,131.39,88.24,641941,R,FC,85.9,2290.0
strikeout,foul_tip,429665,R,,,,,450203,R,FF,94.4,2221.0
field_out,hit_into_play,429665,R,69.0,80.0,173.75,186.19,450203,R,FF,94.6,2287.0
strikeout,swinging_strike,429665,R,,,,,450203,R,FT,92.8,2178.0
field_out,hit_into_play,429665,R,24.0,90.8,42.82,91.08,607188,R,FF,93.5,2132.0
strikeout,swinging_strike,429665,R,,,,,475054,R,SL,81.3,2845.0
field_out,hit_into_play,429665,R,-31.0,83.8,104.7,171.05,605483,L,CH,86.0,1831.0
field_out,hit_into_play,429665,R,37.0,94.3,61.2,64.82,605483,L,FF,96.0,2257.0
field_out,hit_into_play,429665,R,-19.0,71.5,108.34,169.84,592773,R,FF,98.3,2416.0
field_out,hit_into_play,429665,R,57.0,94.0,192.53,111.69,641941,R,FF,95.1,2385.0
field_out,hit_into_play,429665,R,46.0,92.4,162.95,81.95,552640,R,SL,89.3,2865.0
field_out,hit_into_play,429665,R,60.0,65.5,151.22,144.02,656713,L,FF,94.7,2189.0
strikeout,swinging_strike,429665,R,,,,,656713,L,FF,94.5,2272.0
strikeout,swinging_strike,429665,R,,,,,592473,L,FF,90.5,2149.0
strikeout,swinging_strike,429665,R,,,,,552640,R,FF,95.8,2325.0
home_run,hit_into_play_score,429665,R,21.0,110.1,11.82,77.17,630023,R,SL,87.1,2304.0
field_out,hit_into_play,429665,R,39.0,92.4,146.86,62.99,630023,R,SI,94.9,2228.0
field_out,hit_into_play,429665,R,27.0,59.5,97.1,130.4,630023,R,SI,95.2,2290.0
strikeout,swinging_strike,429665,R,,,,,621242,R,SL,90.1,2416.0
field_out,hit_into_play,429665,R,-11.0,43.3,140.8,159.33,554430,R,FT,96.4,2264.0
strikeout,swinging_strike,429665,R,,,,,554430,R,FS,89.8,1291.0
single,hit_into_play_no_out,429665,R,5.0,103.7,70.89,98.5,554430,R,FF,98.2,2233.0
strikeout,swinging_strike,429665,R,,,,,453214,R,CU,67.0,
force_out,hit_into_play,429665,R,-21.0,83.0,116.36,148.14,657031,L,SL,85.9,2406.0
walk,ball,429665,R,,,,,598264,R,FF,97.3,2432.0
field_out,hit_into_play,429665,R,69.0,80.0,159.96,198.33,593958,L,FF,94.2,2254.0
field_out,hit_into_play,429665,R,39.0,89.0,181.25,108.09,593958,L,CH,89.1,2161.0
walk,ball,429665,R,,,,,593958,L,FT,94.7,2126.0
strikeout,swinging_strike_blocked,429665,R,,,,,519393,R,SL,87.2,2611.0
strikeout,swinging_strike,429665,R,,,,,584171,R,FF,92.7,2149.0
strikeout,swinging_strike,429665,R,,,,,642067,R,FF,91.7,1930.0
strikeout,swinging_strike,429665,R,,,,,642067,R,CU,81.7,2661.0
strikeout,called_strike,429665,R,,,,,453214,R,CU,66.5,
double,hit_into_play_score,429665,R,17.0,99.0,57.1,122.3,519144,R,FT,89.9,2206.0
field_out,hit_into_play,429665,R,69.0,80.0,152.49,170.0,592468,R,KC,78.8,2292.0
