events,description,batter,stand,launch_angle,launch_speed,hc_x,hc_y,pitcher,p_throws,pitch_type,release_speed,release_spin_rate
field_out,hit_into_play,543829,L,34.0,81.9,46.58,112.66,641729,R,FF,94.2,2600.0
field_out,hit_into_play,543829,L,2.0,81.6,110.3,150.37,642397,L,SI,96.2,2501.0
walk,ball,543829,L,,,,,429719,R,FF,91.6,2041.0
grounded_into_double_play,hit_into_play,543829,L,-9.0,96.1,114.54,153.4,429719,R,FT,92.3,2130.0
strikeout,swinging_strike,543829,L,,,,,542585,R,CH,90.7,1750.0
strikeout,swinging_strike,543829,L,,,,,664180,L,CU,76.3,3033.0
single,hit_into_play_no_out,543829,L,16.0,77.7,103.96,106.48,598286,L,FC,84.2,2261.0
field_out,hit_into_play,543829,L,-25.0,78.4,150.28,167.94,571510,L,FF,91.5,2347.0
strikeout,swinging_strike,543829,L,,,,,571510,L,SL,78.2,2331.0
field_out,hit_into_play,543829,L,-15.0,82.9,147.79,174.0,642232,L,CU,71.4,2316.0
field_out,hit_into_play,543829,L,69.0,80.0,104.19,194.28,642232,L,CU,70.9,2549.0
single,hit_into_play_no_out,543829,L,-36.0,40.0,120.92,191.24,642232,L,SI,89.3,2188.0
field_out,hit_into_play,543829,L,-3.0,83.5,150.83,166.9,641941,R,FF,94.3,2635.0
strikeout,swinging_strike,543829,L,,,,,450203,R,CU,79.7,2963.0
strikeout,swinging_strike,543829,L,,,,,450203,R,CU,79.3,2969.0
single,hit_into_play_no_out,543829,L,-24.0,85.9,181.25,127.87,450203,R,FF,93.8,2308.0
single,hit_into_play_no_out,543829,L,-32.0,90.3,116.36,173.49,592716,R,SI,93.4,1961.0
field_out,hit_into_play,543829,L,-5.0,89.9,147.79,152.2,502239,R,CH,83.5,1510.0
single,hit_into_play_no_out,543829,L,14.0,93.5,120.67,73.73,606167,L,FF,93.6,2607.0
single,hit_into_play_no_out,543829,L,27.0,27.5,135.03,188.01,596071,L,SL,81.8,2563.0
single,hit_into_play_no_out,543829,L,11.0,98.2,149.6,111.48,596071,L,CU,75.7,3014.0
sac_bunt,hit_into_play,543829,L,-39.0,41.0,121.94,190.73,605121,R,FF,95.1,2196.0
field_out,hit_into_play,543829,L,-21.0,82.9,144.24,151.69,656288,R,SL,87.5,2441.0
sac_fly,hit_into_play_score,543829,L,33.0,93.2,92.55,55.12,656288,R,FF,93.6,2477.0
single,hit_into_play_no_out,543829,L,-10.0,68.9,111.29,163.35,665120,L,FF,91.6,1977.0
single,hit_into_play_no_out,543829,L,-35.0,77.7,111.29,160.31,642545,R,SL,84.4,2187.0
field_out,hit_into_play,543829,L,-39.0,41.0,115.35,180.59,642545,R,FF,90.9,2336.0
single,hit_into_play_no_out,543829,L,-6.0,97.8,85.94,110.12,642545,R,FF,91.0,2224.0
field_out,hit_into_play,543829,L,-21.0,69.5,107.78,171.52,595014,R,SI,96.8,2296.0
field_out,hit_into_play,543829,L,38.0,85.9,62.33,100.1,433589,R,FF,89.0,2320.0
field_out,hit_into_play,543829,L,-39.0,41.0,124.04,192.35,456701,R,FF,92.8,2098.0
single,hit_into_play_score,543829,L,8.0,98.6,122.01,101.42,456701,R,FF,92.8,2056.0
double,hit_into_play_no_out,543829,L,28.0,93.7,155.33,47.43,642152,R,FC,91.9,2393.0
field_out,hit_into_play,543829,L,-39.0,41.0,138.69,187.58,596043,R,FC,86.2,2182.0
field_out,hit_into_play,543829,L,8.0,69.8,112.04,148.21,596043,R,FT,89.5,1926.0
single,hit_into_play_no_out,543829,L,13.0,95.8,78.47,86.93,570663,R,FF,98.3,2306.0
force_out,hit_into_play,543829,L,-23.0,84.3,118.25,146.13,472610,R,FS,86.0,928.0
field_out,hit_into_play,543829,L,26.0,82.5,54.81,110.76,518774,R,CU,80.6,2294.0
field_out,hit_into_play,543829,L,-14.0,71.8,149.14,158.25,518774,R,CU,82.9,2585.0
field_out,hit_into_play,543829,L,-21.0,82.9,123.36,191.88,570240,R,CH,81.4,1583.0
field_out,hit_into_play,543829,L,10.0,99.8,146.51,142.6,570240,R,FT,90.9,2114.0
field_out,hit_into_play,543829,L,-46.0,75.1,151.83,166.45,570240,R,FT,93.1,2200.0
single,hit_into_play_no_out,543829,L,5.0,98.6,125.57,98.79,521230,R,SL,89.1,2274.0
field_out,hit_into_play,543829,L,6.0,98.3,150.33,153.72,433589,R,FF,88.7,2224.0
field_out,hit_into_play,543829,L,5.0,78.7,160.47,162.85,596043,R,FC,86.6,2104.0
triple,hit_into_play_no_out,543829,L,18.0,99.1,156.97,67.82,596043,R,FF,88.6,1981.0
field_out,hit_into_play,543829,L,-11.0,90.2,146.91,150.09,605525,R,FT,93.7,2227.0
field_out,hit_into_play,543829,L,-20.0,90.8,143.28,153.12,605135,R,SI,93.3,2072.0
